epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.2891,3.67147,3.44464,1.47023,0.26424,0.54438,0.23173,0.06953,2.60633,4.04291,1.13174,0.00036,0.00036,0.00036
2,45.4422,2.34031,1.62804,1.01953,0.26424,0.54438,0.23173,0.06953,nan,nan,nan,0.000710696,0.000710696,0.000710696
3,62.3291,2.32508,1.43511,1.01991,0.01517,0.14497,0.009,0.00364,nan,nan,nan,0.0010313,0.0010313,0.0010313
4,80.1532,2.20399,1.28135,0.98359,0.01517,0.14497,0.009,0.00364,nan,nan,nan,0.0013218,0.0013218,0.0013218
5,96.4085,2.17703,1.41196,0.98163,0.01517,0.14497,0.009,0.00364,0,1709,0,0.00158221,0.00158221,0.00158221
6,112.748,2.14769,1.25942,0.97913,0.59393,0.42841,0.45206,0.16898,2.3242,4.4637,1.04044,0.001604,0.001604,0.001604
7,134.115,2.11537,1.16993,0.98308,0.67339,0.69822,0.68094,0.27682,2.06163,1.8541,0.97736,0.0015248,0.0015248,0.0015248
8,153.401,2.09666,1.06875,0.97517,0.63586,0.59172,0.59772,0.24276,2.05311,3.18537,0.95583,0.0014456,0.0014456,0.0014456
9,171.166,1.9852,1.03375,0.95688,0.7784,0.67456,0.74553,0.30123,2.10856,1.58818,0.99472,0.0013664,0.0013664,0.0013664
10,188.5,1.93417,0.98037,0.9392,0.72075,0.55325,0.61407,0.27791,2.03513,1.3455,0.95845,0.0012872,0.0012872,0.0012872
11,206.165,1.86735,0.9676,0.95066,0.75935,0.75617,0.78469,0.35564,1.89859,1.48485,0.93018,0.001208,0.001208,0.001208
12,223.825,1.8541,0.93274,0.9318,0.7996,0.79882,0.83546,0.39271,1.85092,0.96475,0.92229,0.0011288,0.0011288,0.0011288
13,247.675,1.83668,0.91883,0.92985,0.74694,0.76846,0.80672,0.35785,1.89133,1.03118,0.93713,0.0010496,0.0010496,0.0010496
14,265.369,1.79947,0.90856,0.92388,0.82864,0.74556,0.81328,0.3546,1.93872,0.94729,0.93982,0.0009704,0.0009704,0.0009704
15,281.851,1.76057,0.86849,0.91924,0.82399,0.81953,0.85538,0.39152,1.90079,0.88879,0.93297,0.0008912,0.0008912,0.0008912
16,302.213,1.74108,0.86852,0.91855,0.82999,0.83136,0.87669,0.44059,1.75893,0.84422,0.91052,0.000812,0.000812,0.000812
17,321.86,1.68661,0.84745,0.92345,0.75203,0.67456,0.73835,0.33055,2.01513,1.00163,0.93375,0.0007328,0.0007328,0.0007328
18,337.776,1.6685,0.84895,0.91459,0.81754,0.80865,0.85685,0.42496,1.79555,0.88301,0.91259,0.0006536,0.0006536,0.0006536
19,354.657,1.6762,0.85773,0.91933,0.84874,0.81343,0.87181,0.43423,1.68585,0.86194,0.90351,0.0005744,0.0005744,0.0005744
20,371.227,1.60945,0.79624,0.91877,0.82754,0.83759,0.86137,0.43966,1.63402,0.8591,0.89396,0.0004952,0.0004952,0.0004952
21,388.432,1.59985,0.78818,0.90405,0.82235,0.79586,0.86783,0.46198,1.61916,0.82037,0.89343,0.000416,0.000416,0.000416
22,407.481,1.55418,0.77418,0.90004,0.84357,0.8456,0.89197,0.46735,1.65859,0.80497,0.8978,0.0003368,0.0003368,0.0003368
23,428.538,1.57656,0.77835,0.90034,0.8435,0.83432,0.88092,0.46329,1.66949,0.8202,0.90304,0.0002576,0.0002576,0.0002576
24,444.746,1.5301,0.74004,0.88661,0.84944,0.79586,0.86475,0.44496,1.7509,0.83098,0.91051,0.0001784,0.0001784,0.0001784
25,461.21,1.48214,0.73079,0.88254,0.84859,0.81252,0.87097,0.45388,1.69942,0.81025,0.9059,9.92e-05,9.92e-05,9.92e-05
